id;customer_name;customer_code;marketing_name;is_active;created_at;updated_at
159;Majalengka - NUTRIBEV;M-N61;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
160;PT. Indah Bestari Permai;IBP15;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
161;PT.Ingress Technologies Indonesia;PTI82;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
162;PT Kanepackage Indonesia;KI41;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
163;PT. Kati Kartika Murni;KKM43;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
164;PT.M-I Production Chemicals;PPC80;TATA;1;17/02/2026 18:08;17/02/2026 18:08
165;PT. Rusli Jagat Utama;RJU14;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
166;PT. Frigoglass;F03;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
167;PT Perfetti Van;PV06;TATA;1;17/02/2026 18:08;17/02/2026 18:08
168;PT Piaggio Indonesia Industrial;PII52;TATA;1;17/02/2026 18:08;17/02/2026 18:08
169;PT Logis All Global;LAG54;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
170;PT Logisall Servis Indonesia;LSI19;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
171;Misumi Indonesia;MI54;TATA;1;17/02/2026 18:08;17/02/2026 18:08
172;Berlina;B29;TATA;1;17/02/2026 18:08;17/02/2026 18:08
173;Berjaya Nawaplastic;BN10;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
174;Asianargo;A53;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
175;Indokuat -Delta Silicon - 4 unit;I-S-4U41;TATA;1;17/02/2026 18:08;17/02/2026 18:08
176;Jakarta Sereal;JS71;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
177;PT Kasmaji;K16;TATA;1;17/02/2026 18:08;17/02/2026 18:08
178;Rapid Plast;RP63;TATA;1;17/02/2026 18:08;17/02/2026 18:08
179;Gunanusa;G81;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
180;Ingress Industrial;II55;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
181;Komala Agung;KA05;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
182;PT Saitama;S08;TATA;1;17/02/2026 18:08;17/02/2026 18:08
183;Sokobimo Indo Perkasa;SIP95;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
184;PT Hab Dong Indonesia;HDI67;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
