"id";"role_id";"permission_id";"granted";"assigned_by";"assigned_at"
"347";"30";"78";"1";NULL;"2025-12-12 17:18:42"
"348";"30";"79";"1";NULL;"2025-12-12 17:18:42"
"349";"30";"80";"1";NULL;"2025-12-12 17:18:42"
"350";"30";"81";"1";NULL;"2025-12-12 17:18:42"
"351";"30";"82";"1";NULL;"2025-12-12 17:18:42"
"352";"30";"83";"1";NULL;"2025-12-12 17:18:42"
"353";"30";"84";"1";NULL;"2025-12-12 17:18:42"
"354";"30";"85";"1";NULL;"2025-12-12 17:18:42"
"355";"30";"86";"1";NULL;"2025-12-12 17:18:42"
"356";"30";"87";"1";NULL;"2025-12-12 17:18:42"
"357";"30";"88";"1";NULL;"2025-12-12 17:18:42"
"358";"30";"89";"1";NULL;"2025-12-12 17:18:42"
"359";"30";"90";"1";NULL;"2025-12-12 17:18:42"
"360";"30";"91";"1";NULL;"2025-12-12 17:18:42"
"361";"30";"92";"1";NULL;"2025-12-12 17:18:42"
"362";"30";"93";"1";NULL;"2025-12-12 17:18:42"
"363";"30";"94";"1";NULL;"2025-12-12 17:18:42"
"364";"30";"95";"1";NULL;"2025-12-12 17:18:42"
"365";"30";"96";"1";NULL;"2025-12-12 17:18:42"
"366";"30";"97";"1";NULL;"2025-12-12 17:18:42"
"367";"30";"98";"1";NULL;"2025-12-12 17:18:42"
"368";"30";"99";"1";NULL;"2025-12-12 17:18:42"
"369";"30";"100";"1";NULL;"2025-12-12 17:18:42"
"370";"30";"101";"1";NULL;"2025-12-12 17:18:42"
"371";"30";"102";"1";NULL;"2025-12-12 17:18:42"
"372";"30";"103";"1";NULL;"2025-12-12 17:18:42"
"373";"30";"104";"1";NULL;"2025-12-12 17:18:42"
"374";"30";"105";"1";NULL;"2025-12-12 17:18:42"
"375";"30";"106";"1";NULL;"2025-12-12 17:18:42"
"376";"30";"107";"1";NULL;"2025-12-12 17:18:42"
"377";"30";"108";"1";NULL;"2025-12-12 17:18:42"
"378";"30";"109";"1";NULL;"2025-12-12 17:18:42"
"379";"30";"110";"1";NULL;"2025-12-12 17:18:42"
"380";"30";"111";"1";NULL;"2025-12-12 17:18:42"
"381";"30";"112";"1";NULL;"2025-12-12 17:18:42"
"382";"30";"113";"1";NULL;"2025-12-12 17:18:42"
"383";"30";"114";"1";NULL;"2025-12-12 17:18:42"
"384";"30";"115";"1";NULL;"2025-12-12 17:18:42"
"385";"32";"63";"1";NULL;"2025-12-12 17:18:42"
"386";"32";"64";"1";NULL;"2025-12-12 17:18:42"
"387";"32";"65";"1";NULL;"2025-12-12 17:18:42"
"388";"32";"66";"1";NULL;"2025-12-12 17:18:42"
"389";"32";"67";"1";NULL;"2025-12-12 17:18:42"
"390";"32";"68";"1";NULL;"2025-12-12 17:18:42"
"391";"32";"69";"1";NULL;"2025-12-12 17:18:42"
"392";"32";"70";"1";NULL;"2025-12-12 17:18:42"
"393";"32";"71";"1";NULL;"2025-12-12 17:18:42"
"394";"32";"72";"1";NULL;"2025-12-12 17:18:42"
"395";"32";"73";"1";NULL;"2025-12-12 17:18:42"
"396";"32";"74";"1";NULL;"2025-12-12 17:18:42"
"397";"32";"75";"1";NULL;"2025-12-12 17:18:42"
"398";"32";"77";"1";NULL;"2025-12-12 17:18:42"
"399";"32";"78";"1";NULL;"2025-12-12 17:18:42"
"400";"32";"79";"1";NULL;"2025-12-12 17:18:42"
"401";"32";"107";"1";NULL;"2025-12-12 17:18:42"
"402";"32";"108";"1";NULL;"2025-12-12 17:18:42"
"403";"33";"107";"1";NULL;"2025-12-12 17:18:42"
"404";"33";"108";"1";NULL;"2025-12-12 17:18:42"
