id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at
;attachment;ATT0450;;;35;ID-25H-356;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;11/09/2025;;;
;attachment;ATT0451;;;35;ID-25H-358;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;11/09/2025;;;
;attachment;ATT0452;;;35;ID-25H-360;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;11/09/2025;;;
;attachment;ATT0453;;;35;ID-25H-355;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;11/09/2025;;;
;attachment;ATT0454;;7724;46;25-03-'04297;;;;;Baik;Lengkap;;PINDODELI PERAWANG;IN_USE;21/04/2025;;;
;attachment;ATT0455;;7241;3;BWMA4082;;;;;Baik;Lengkap;;INDOKORDSA;IN_USE;05/03/2025;;;
;attachment;ATT0456;;5384;26;0977;;;;;Baik;Lengkap;;PT. CIPTA NIAGA SEMESTA;IN_USE;21/04/2025;;;
;attachment;ATT0457;;7884;25;2360369 L/R;;;;;Baik;Lengkap;;SAMUDERA LOGISTIC;IN_USE;29/08/2025;;;
;attachment;ATT0458;;5530;29;0046;;;;;Baik;Lengkap;;PT. HEINZ ABC;IN_USE;20/12/2023;;;
;attachment;ATT0459;;7791;19;24-02-2330;;;;;Baik;Lengkap;;PRIMACOR MANDIRI;IN_USE;06/04/2024;;;
;attachment;ATT0460;;7466;26;0976;;;;;Baik;Lengkap;;PT. LG LEGOK;IN_USE;21/04/2025;;;
;attachment;ATT0461;;7867;35;ID-25H-359;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;11/09/2025;;;
;attachment;ATT0462;;7865;35;ID-25H-353;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;11/09/2025;;;
;attachment;ATT0463;;;35;ID-25H-361;;;;;Baik;Lengkap;;;AVAILABLE;16/09/2025;;;
;attachment;ATT0464;;7888;25;2360383 L/R;;;;;Baik;Lengkap;;SAMUDERA LOGISTIC;IN_USE;29/08/2025;;;
;attachment;ATT0465;;6787;26;0979;;;;;Baik;Lengkap;;PT. CIPTA NIAGA SEMESTA KEDIRI;IN_USE;21/04/2025;;;
;attachment;ATT0466;;7887;25;2360362 L/R;;;;;Baik;Lengkap;;SAMUDERA LOGISTIC;IN_USE;29/08/2025;;;
;attachment;ATT0467;;8081;26;0980;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0468;;8085;26;0968;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0469;;8084;26;0969;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0470;;8077;26;0967;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0471;;8082;26;0966;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0472;;8080;26;0973;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0473;;8079;26;0972;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0474;;8090;26;0974;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0475;;8091;29;0019;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;20/12/2023;;;
;attachment;ATT0476;;8083;26;0970;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0477;;8078;26;0971;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0478;;6184;29;0026;;;;;Baik;Lengkap;;COLOROBIA;IN_USE;20/12/2023;;;
;attachment;ATT0479;;6645;29;0015;;;;;Baik;Lengkap;;COLOROBIA;IN_USE;20/12/2023;;;
;attachment;ATT0480;;7836;26;0978;;;;;Baik;Lengkap;;SAMUDERA LOGISTIC;IN_USE;21/04/2025;;;
;attachment;ATT0481;;8096;26;0983;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0482;;8095;29;0018;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;20/12/2023;;;
;attachment;ATT0483;;8098;26;0982;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0484;;8097;26;0984;;;;;Baik;Lengkap;;PT. INDOKORDSA;IN_USE;21/04/2025;;;
;attachment;ATT0485;;7993;26;0981;;;;;Baik;Lengkap;;SAMUDERA LOGISTIC;IN_USE;21/04/2025;;;
;attachment;ATT0486;;8103;26;0975;;;;;Baik;Lengkap;;INDOFOOD PURWOKERTO;IN_USE;21/04/2025;;;
;attachment;ATT0487;;7055;57;25-07-13157;;;;;Baik;Lengkap;;PT. STEEL TUBE;IN_USE;11/08/2025;;;
;attachment;ATT0488;;8119;29;1316;;;;;Baik;Lengkap;;PT BEKAERT;IN_USE;21/04/2025;;;
;attachment;ATT0489;;;26;0985;;;;;Baik;Lengkap;;DIJUAL PT. UNILIFT CAHAYA SEMESTA;SOLD;21/04/2025;;;
