unit_id;no_unit;nama_customer;customer_id;lokasi_db;lokasi_mentah;merk;model;tipe;kapasitas;tahun;nomor_po;no_kontrak;awal_kontrak;akhir_kontrak;harga;sumber_data
4555;5655;"PT. Tirta Sukses Perkasa";222;"Plant Pandaan";Pandaan;HELI;CPD20-GB2LI-M;ELECTRIC;;2025;4507148105;;2026-01-23;2026-04-23;11500000;"Marketing, Service, Acc"
4556;5656;"PT. Tirta Sukses Perkasa";222;"Plant Pandaan";Pandaan;HELI;CPD20-GB2LI-M;ELECTRIC;;2025;4507148105;;2026-01-23;2026-04-23;11500000;"Marketing, Service, Acc"
4558;5658;"PT. Tirta Sukses Perkasa";222;"Plant Pandaan";Pandaan;HELI;CPD20-GB2LI-M;ELECTRIC;;2025;4507148105;;2026-01-23;2026-04-23;11500000;"Marketing, Service, Acc"
4209;5309;"PT. Tuffindo Nittoku Autoneum";228;"Plant Karawang";Karawang;HELI;CQD18-A2RLIG2;ELECTRIC;;2024;PO/TNA/IX/2025/1230;747/SML/IX/2024;2024-09-07;2024-12-07;11000000;"Marketing, Service, Acc"
4467;5567;"PT. Tuffindo Nittoku Autoneum";228;"Plant Karawang";Karawang;HELI;CPD25-GB6LI-S;ELECTRIC;;2024;;747/SML/IX/2024;2026-01-01;2026-12-31;9250000;"Marketing, Service"
4468;5568;"PT. Tuffindo Nittoku Autoneum";228;"Plant Karawang";Karawang;HELI;CPD25-GB6LI-S;ELECTRIC;;2024;;747/SML/IX/2024;2026-01-01;2026-12-31;9250000;"Marketing, Service"
4087;5187;"PT. Sankeikid";190;"Plant Karawang";Karawang;HELI;CPD25-GB2LI-M;ELECTRIC;;2024;"po per bulan";9.0312/PO/SMI/II/26;2026-01-21;2026-02-22;9900000;"Marketing, Service, Acc"
4245;5345;"PT. Sankeikid";190;"Plant Karawang";Karawang;HELI;CPD20-GB6LI-S;ELECTRIC;;2024;"po per bulan";9.0312/PO/SMI/II/26;2026-01-21;2026-02-22;9900000;"Marketing, Service, Acc"
4515;5615;Papandayan;165;"Plant Bandung";MENGGER;JUNGHEINRICH;"ETV MC320-1150-10520DZ";ELECTRIC;1.1;2024;4504774693-GL1;"Service Agreement 01 Maret 2025";2025-05-20;1930-05-31;17300000;"Marketing, Service, Acc"
4516;5616;Papandayan;165;"Plant Bandung";MENGGER;JUNGHEINRICH;"ETV MC320-1150-10520DZ";ELECTRIC;1.1;2024;4504774693-GL1;"Service Agreement 01 Maret 2025";2025-05-20;1930-05-31;17300000;"Marketing, Service, Acc"
4499;5599;Papandayan;165;"Plant Bandung";MENGGER;HELI;CPD20-GE6LI-S;ELECTRIC;;2025;4504774693-GL1;"Service Agreement 01 Maret 2025";2025-05-15;1930-05-31;9800000;"Marketing, Service, Acc"
4509;5609;Papandayan;165;"Plant Bandung";"BINTANG AGUNG";HELI;CPD38-GB2LI-M;ELECTRIC;;2025;4504774699-GL1;"PO PER 1 thn aja";2025-06-01;2026-05-31;12400000;"Marketing, Service, Acc"
4510;5610;Papandayan;165;"Plant Bandung";"BINTANG AGUNG";HELI;CPD38-GB2LI-M;ELECTRIC;;2025;4504774699-GL1;"PO PER 1 thn aja";2025-06-01;2026-05-31;12400000;"Marketing, Service, Acc"
4511;5611;Papandayan;165;"Plant Bandung";MENGGER;HELI;CPD38-GB2LI-M;ELECTRIC;;2025;4504774699-GL1;"Service Agreement 01 Maret 2025";2025-06-09;1930-05-31;12400000;"Marketing, Service, Acc"
