NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
149;22040YC9283;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
150;22040YC9284;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
151;22040YC9285;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
152;22040YC9286;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
153;22040YC9287;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
154;22040YC9288;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
155;22040YC9289;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
156;22040YC9290;QYD40S-J3G2LI;TOWING;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE TOWING TRACTOR LITHIUM BATERY 24V200AH, ROTARY LAMP, BACKBUZZER, SAFETY BELT;-;-;4TON;ELECTRIC;-;-;-;SOLID TIRE;400-8/3.00;400-8/3.00;-
157;010503R9263;CPCD50-M4XK2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL MITSUBISHI S6S METIC TRANSMITION MAST M300 PHENEMITIC TIRE FORK 1220, ROTARY LAMP, LED, SPION, SAFETY BELT, BACKBUZZER, 6 SILINDER;MITSUBISHI;S6S-142439;5TON;DIESEL;M300;3000MM;-;PNEUMATIC;300-15;7.00-12;2
158;010353S1050;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-423094;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
